Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|
88925625,0.06,93.43,0.3,96.19,47.1,47.1
89150500,0.06,91.32,0.3,96.19,48.9,48.9
89375375,-0.00,89.21,0.0,?,50.7,50.7
89600250,-0.00,87.10,0.0,?,52.6,52.6
89825125,-0.06,84.99,0.4,96.19,54.6,54.6
90050000,-0.06,82.87,0.4,96.19,56.6,56.6
90274875,-0.06,80.94,0.4,96.19,58.6,58.6
90499750,-0.12,78.83,0.8,48.10,60.8,60.8
90724625,-0.12,76.89,0.9,48.10,63.0,63.0
90949500,-0.12,74.96,0.9,48.10,65.2,65.2
91174375,-0.18,73.02,1.4,98.73,67.5,67.5
91399250,-0.18,71.09,1.5,98.73,70.0,70.0
91624125,-0.18,69.15,1.6,98.73,72.5,72.5
91849000,-0.23,67.21,2.2,74.05,75.2,75.2
92073875,-0.23,65.45,2.3,74.05,77.8,77.8
92298750,-0.23,63.52,2.4,74.05,80.7,80.8
92523625,-0.23,61.76,2.6,74.05,83.6,83.6
92748500,-0.29,60.00,3.4,59.24,86.5,86.6
92973375,-0.29,58.24,3.6,59.24,89.6,89.7
93198250,-0.29,56.48,3.8,59.24,93.0,93.0
93423125,-0.29,54.72,4.0,59.24,96.5,96.6
93648000,-0.35,52.96,5.1,49.37,100.2,100.3
93872875,-0.35,51.38,5.4,49.37,103.7,103.9
94097750,-0.35,49.62,5.7,49.37,107.9,108.1
94322625,-0.35,48.04,6.1,49.37,111.9,112.1
94547500,-0.41,46.28,7.6,42.32,116.6,116.8
94772375,-0.41,44.69,8.1,42.32,121.2,121.4
94997250,-0.41,43.11,8.7,42.32,126.1,126.4
95222125,-0.41,41.70,9.3,42.32,130.7,131.0
95447000,-0.47,40.12,11.4,37.03,136.1,136.6
95671875,-0.47,38.53,12.3,37.03,142.1,142.6
95896750,-0.47,37.13,13.2,37.03,147.8,148.4
96121625,-0.47,35.72,14.3,37.03,154.0,154.6
96346500,-0.47,34.13,15.6,37.03,161.5,162.2
96571375,-0.47,32.73,16.9,37.03,168.7,169.6
96796250,-0.47,31.32,18.4,37.03,176.6,177.5
97021125,-0.47,29.91,20.1,37.03,185.1,186.2
97246000,-0.47,28.50,22.0,37.03,194.5,195.7
97470875,-0.53,27.10,27.2,32.92,204.1,205.9
97695750,-0.53,25.87,29.8,32.92,213.8,215.9
97920625,-0.53,24.46,33.2,32.92,226.0,228.5
98145500,-0.47,23.23,32.8,37.03,239.0,241.2
98370375,-0.47,21.82,37.0,37.03,254.2,256.9
98595250,-0.47,20.59,41.4,37.03,269.2,272.3
98820125,-0.47,19.18,47.4,37.03,288.4,292.2
99045000,-0.53,17.95,60.2,32.92,305.1,310.9
99269875,-0.53,16.54,70.3,32.92,329.3,336.7
99494750,-0.53,15.31,81.5,32.92,353.6,362.9
99719625,-0.53,14.08,95.4,32.92,381.5,393.3
99944500,-0.53,12.84,113.2,32.92,413.7,428.9
100169375,-0.47,11.61,123.2,37.03,459.0,475.2
100394250,-0.53,10.38,166.9,32.92,494.6,522.0
100619125,-0.47,9.15,190.5,37.03,560.6,592.1
100844000,-0.53,8.09,257.5,32.92,596.2,649.4
101068875,-0.47,6.86,313.4,37.03,692.8,760.4
101293750,-0.47,5.81,410.1,37.03,767.6,870.2
101518625,-0.47,4.75,552.1,37.03,846.0,1010.2
101743500,-0.47,3.87,722.4,37.03,902.3,1155.9
101968375,-0.47,2.99,957.6,37.03,924.6,1331.2
102193250,-0.47,2.46,1133.8,37.03,901.6,1448.6
102418125,-0.47,1.94,1331.2,37.03,831.9,1569.8
102643000,-0.47,1.76,1399.5,37.03,795.1,1609.6
102867875,-0.47,1.58,1467.6,37.03,750.4,1648.3
103092750,-0.47,1.76,1399.5,37.03,795.1,1609.6
103317625,-0.47,1.94,1331.2,37.03,831.9,1569.8
103542500,-0.47,2.46,1133.8,37.03,901.6,1448.6
103767375,-0.47,2.99,957.6,37.03,924.6,1331.2
103992250,-0.47,3.70,763.8,37.03,910.7,1188.6
104217125,-0.47,4.57,581.7,37.03,858.5,1037.0
104442000,-0.47,5.63,430.0,37.03,780.6,891.2
104666875,-0.47,6.51,341.7,37.03,716.9,794.2
104891750,-0.47,7.57,265.8,37.03,647.6,700.1
105116625,-0.47,8.45,219.6,37.03,596.8,636.0
105341500,-0.47,9.50,178.0,37.03,543.8,572.2
105566375,-0.47,10.56,147.0,37.03,498.2,519.5
105791250,-0.47,11.61,123.2,37.03,459.0,475.2
106016125,-0.47,12.49,107.5,37.03,430.3,443.5
106241000,-0.47,13.55,92.3,37.03,399.9,410.5
106465875,-0.47,14.60,80.0,37.03,373.3,381.8
106690750,-0.47,15.66,70.0,37.03,349.8,356.8
106915625,-0.47,16.54,63.1,37.03,332.3,338.2
107140500,-0.47,17.60,56.0,37.03,313.3,318.3
107365375,-0.47,18.65,50.1,37.03,296.2,300.4
107590250,-0.47,19.71,45.0,37.03,280.9,284.5
107815125,-0.41,20.59,36.4,42.32,270.6,273.0
108040000,-0.47,21.64,37.6,37.03,256.3,259.0
108264875,-0.41,22.70,30.1,42.32,245.6,247.4
108489750,-0.35,23.75,23.7,49.37,235.5,236.7
108714625,-0.41,24.81,25.3,42.32,224.6,226.0
108939500,-0.41,25.69,23.7,42.32,216.8,218.1
